,Gender,Age,Acc,CR,Ptime,S_anx1,S_anx2,S_anx3,EBB3,R_tea,Inattention,LC,AC,WE,PL
Tra_ttt136_DN,1,15,2,1,10,5,5,1,1,3,17,24,18,15,15
Tra_ttt137_DN,2,17,2,2,6,2,1,1,1,6,6,16,4,7,5
Tra_ttt138_DN,2,16,2,2,10,5,3,5,1,4,22,23,20,15,7
Tra_ttt139_DN,2,16,2,2,5,2,1,2,1,5,4,14,7,11,3
Tea_ttt137_Control,1,13,1,1,10,1,1,1,1,5,4,14,4,3,6
Tea_ttt138_Control,1,14,1,2,1,4,2,2,1,5,12,10,10,10,4
Tra_ttt140_DN,1,16,2,2,10,1,1,1,1,4,17,35,4,11,15
Tea_ttt139_Control,2,14,1,1,2,1,1,1,1,4,4,9,4,8,5
Tea_ttt140_Control,1,16,2,1,5,1,1,1,1,4,10,10,4,4,5
Tea_ttt141_Control,2,14,2,2,3,2,1,1,1,6,4,18,6,7,7
Tra_ttt141_DN,1,15,2,2,2,1,1,1,1,5,5,7,4,3,3
Tea_ttt142_Control,2,14,1,1,2,1,1,1,1,6,7,16,6,6,6
Tea_ttt143_Control,1,16,2,2,6,1,1,1,1,5,7,10,11,15,3
Tea_ttt144_Control,1,12,1,1,2,1,1,1,1,6,2,7,4,6,3
Tra_ttt142_DN,2,16,2,2,6,4,3,2,1,4,5,20,5,7,5
Tra_ttt143_DN,2,16,2,1,10,2,2,5,5,5,27,35,20,15,11
Tra_ttt144_DN,2,16,2,2,10,2,1,2,1,4,9,21,15,12,11
Tea_ttt145_Control,1,13,2,2,1,1,1,1,2,3,3,8,6,4,3
Tra_ttt145_DN,2,16,2,2,4,2,2,1,1,5,8,11,11,10,6
Tea_ttt146_Control,1,14,1,1,2,2,1,1,1,6,3,7,4,5,3
Tra_ttt146_DN,1,15,2,2,5,4,4,4,4,5,16,22,12,10,10
Tra_ttt147_DN,1,16,2,1,8,2,5,5,1,5,6,14,8,7,7
Tea_ttt147_Control,2,15,2,2,4,1,1,1,1,6,2,7,4,5,4
Tea_ttt148_Control,2,16,2,2,6,1,1,1,1,6,5,10,4,5,6
Tra_ttt148_DN,2,16,2,2,10,5,2,1,1,6,22,7,4,3,3
Tea_ttt149_Control,2,13,1,1,1,1,1,1,1,6,2,7,4,3,3
Tea_ttt150_Control,1,13,1,1,1,1,1,1,2,5,17,15,4,10,8
Tea_ttt151_Control,2,14,1,1,3,2,1,1,1,1,4,11,9,13,5
Tea_ttt152_Control,2,13,2,2,6,2,1,1,2,6,5,18,4,5,5
Tea_ttt153_Control,1,16,2,2,3,2,1,1,1,4,8,15,4,8,3
Tra_ttt149_DN,1,12,1,1,2,3,2,2,1,4,14,23,10,15,9
Tea_ttt154_Control,1,15,2,2,10,1,1,1,1,6,6,19,6,8,10
Tra_ttt150_DN,1,17,2,2,6,2,1,1,2,4,20,21,6,9,11
Tra_ttt151_DN,1,16,2,2,8,2,2,2,2,4,12,14,8,6,6
Tea_ttt155_Control,1,15,2,2,3,1,1,1,1,6,1,11,4,3,8
Tra_ttt152_DN,1,15,2,2,1,5,4,4,1,4,13,8,4,7,3
Tra_ttt153_DN,2,12,1,1,8,1,1,1,1,4,12,23,9,11,10
Tea_ttt156_Control,2,16,2,2,4,2,2,1,1,6,6,13,4,12,3
Tea_ttt157_Control,1,14,2,2,3,1,1,1,1,6,8,18,5,10,6
Tea_ttt158_Control,2,15,2,2,1,2,3,3,1,5,9,8,4,6,5
Tea_ttt159_Control,1,16,2,2,5,1,1,1,1,6,11,17,9,6,5
Tea_ttt160_Control,1,16,2,2,8,1,1,1,3,5,10,20,9,9,6
Tea_ttt161_Control,1,13,1,1,2,1,1,2,1,5,2,14,12,4,5
Tra_ttt154_DN,2,15,2,2,4,4,3,2,2,4,8,21,6,11,8
Tra_ttt155_DN,1,14,2,2,10,5,5,5,1,4,6,28,20,15,3
Tra_ttt156_DN,2,15,2,2,3,3,2,2,1,4,6,13,7,8,7
Tea_ttt162_Control,1,15,2,2,3,2,1,1,1,5,3,22,4,8,7
Tra_ttt157_DN,1,15,2,2,7,2,2,1,2,5,7,17,6,7,6
Tra_ttt158_DN,2,14,1,1,2,5,3,5,1,3,11,21,9,5,7
Tra_ttt159_DN,1,12,1,1,1,1,1,1,2,4,17,30,7,15,9
Tra_ttt160_DN,1,16,2,2,3,5,5,1,1,5,4,10,6,15,3
Tea_ttt163_Control,2,14,1,1,1,1,1,1,1,4,3,20,5,7,4
Tea_ttt164_Control,2,13,1,1,4,2,1,1,1,4,5,9,6,9,3
Tea_ttt165_Control,2,13,1,1,1,1,1,1,1,7,8,7,5,4,4
Tra_ttt161_DN,1,15,2,2,6,3,1,1,1,5,12,16,9,5,10
Tra_ttt162_DN,2,14,2,2,4,3,2,1,1,6,10,26,19,15,11
Tra_ttt163_DN,1,14,2,2,8,2,1,1,1,4,7,14,5,6,6
Tra_ttt164_DN,2,15,2,2,1,3,1,1,1,5,5,25,7,6,11
Tea_ttt166_Control,1,14,1,1,1,1,1,1,1,6,3,10,5,3,4
Tra_ttt165_DN,1,16,2,1,6,1,4,1,1,7,8,26,14,15,6
Tra_ttt166_DN,1,16,2,1,9,2,1,1,1,5,13,25,7,9,10
Tra_ttt167_DN,1,14,2,1,10,2,2,1,1,6,15,25,20,15,15
Tra_ttt168_DN,1,13,2,2,10,1,1,1,5,5,13,35,16,3,11
Tra_ttt169_DN,1,16,2,2,5,3,2,3,2,5,16,18,9,8,8
Tra_ttt170_DN,2,14,1,1,2,2,1,1,2,5,12,19,8,7,7
Tra_ttt171_DN,2,16,2,2,3,5,2,2,1,4,6,17,8,9,6
Tra_ttt172_DN,2,15,2,2,5,5,2,3,1,4,7,24,18,11,11
Tea_ttt167_Control,2,15,2,2,2,2,1,1,1,5,2,10,4,6,3
Tra_ttt173_DN,2,16,2,2,6,4,1,2,1,4,6,11,12,10,6
Tra_ttt174_DN,1,15,2,2,5,2,1,1,1,6,10,20,16,5,8
Tra_ttt175_DN,2,14,2,2,9,5,2,4,1,5,13,19,12,12,6
Tra_ttt176_DN,2,16,2,2,6,2,2,1,1,4,9,11,15,12,6
Tra_ttt177_DN,2,13,1,1,3,5,2,1,2,4,18,19,7,9,13
Tea_ttt168_Control,2,14,1,1,5,2,3,3,1,4,6,25,12,12,5
Tra_ttt178_DN,1,16,2,2,4,2,1,1,2,5,6,15,7,8,6
Tra_ttt179_DN,2,15,2,2,3,2,1,2,1,5,3,13,4,5,7
Tea_ttt169_Control,2,15,2,2,5,2,1,2,1,4,7,15,7,9,5
Tea_ttt170_Control,2,13,1,1,1,2,1,1,1,7,5,7,4,3,3
Tra_ttt180_DN,1,15,2,2,10,2,1,1,1,4,10,23,9,5,9
Tea_ttt171_Control,2,14,1,1,1,2,1,1,1,5,6,9,4,4,5
Tea_ttt172_Control,1,16,2,2,6,1,1,1,1,4,10,27,8,4,4
Tra_ttt181_DN,2,17,2,2,6,3,3,3,1,6,5,7,4,4,3
Tra_ttt182_DN,2,13,1,1,1,2,1,2,1,5,11,23,14,9,4
Tra_ttt183_DN,2,16,2,1,10,2,1,2,1,4,4,10,4,5,8
Tra_ttt184_DN,2,15,2,2,4,2,1,2,1,5,8,12,6,7,4
Tea_ttt173_Control,1,13,1,1,3,1,1,1,2,7,2,7,4,3,3
Tea_ttt174_Control,1,15,2,1,4,1,1,1,1,4,8,10,8,8,6
Tea_ttt175_Control,1,15,2,2,6,1,1,1,1,5,2,15,9,3,3
Tra_ttt185_DN,2,15,2,1,2,2,2,2,2,6,7,16,5,6,8
Tea_ttt176_Control,1,16,1,2,3,1,1,1,1,1,0,7,4,3,3
Tea_ttt177_Control,2,14,1,1,4,1,1,1,1,5,4,15,5,7,5
Tra_ttt186_DN,2,16,2,1,10,3,2,1,2,4,7,25,12,14,12
Tra_ttt187_DN,2,17,2,1,5,1,1,1,1,4,2,9,5,8,4
Tra_ttt188_DN,1,15,2,2,6,1,1,1,1,6,5,18,5,9,6
Tra_ttt189_DN,2,16,2,2,10,3,2,5,1,4,8,18,14,12,6
Tra_ttt190_DN,2,15,2,1,8,1,1,1,1,4,14,16,5,10,7
Tea_ttt178_Control,1,16,2,2,3,2,1,1,1,6,8,11,4,8,3
Tea_ttt179_Control,1,14,2,2,6,2,1,1,3,5,12,25,12,12,11
Tea_ttt180_Control,2,13,1,1,6,1,1,1,1,7,4,7,8,15,5
Tra_ttt191_DN,1,16,2,1,5,1,1,1,1,5,5,10,4,4,5
Tea_ttt181_Control,2,16,2,2,3,1,1,1,1,5,12,9,4,4,3
Tea_ttt182_Control,1,16,2,2,3,2,1,1,1,6,6,11,6,9,7
Tea_ttt183_Control,1,12,1,1,3,1,1,1,1,5,0,11,4,8,4
Tea_ttt184_Control,2,14,1,1,4,5,1,1,1,4,0,7,4,3,3
Tra_ttt192_DN,1,16,2,2,1,5,5,1,1,7,10,7,4,3,3
Tea_ttt185_Control,1,15,2,2,7,1,1,1,1,7,0,7,4,3,3
Tea_ttt186_Control,1,15,2,2,8,2,1,1,1,5,7,14,5,6,5
Tra_ttt193_DN,2,15,2,1,10,5,2,2,2,4,7,23,8,7,12
Tra_ttt194_DN,1,14,1,1,10,5,5,5,5,7,27,35,20,15,15
Tra_ttt195_DN,2,13,1,1,2,1,1,1,1,4,10,14,6,8,7
Tra_ttt196_DN,1,12,1,1,1,2,1,1,1,4,3,11,4,6,3
Tea_ttt187_Control,1,16,2,1,10,2,1,1,1,5,0,18,8,7,7
Tea_ttt188_Control,2,16,2,2,8,1,1,1,2,5,11,15,7,5,8
Tea_ttt189_Control,2,16,2,2,10,2,1,1,1,4,0,9,4,4,3
Tra_ttt197_DN,1,17,2,2,4,4,1,1,1,5,9,13,7,14,5
Tea_ttt190_Control,2,13,1,1,2,2,1,1,2,5,5,9,5,4,4
Tra_ttt198_DN,2,14,2,1,9,5,2,1,1,5,10,23,20,8,6
Tra_ttt199_DN,1,16,2,1,2,4,1,2,2,1,13,16,8,6,6
Tea_ttt191_Control,2,13,1,1,2,1,1,1,1,7,2,11,5,6,3
Tea_ttt192_Control,1,13,1,1,1,1,1,1,1,6,9,8,4,3,3
Tea_ttt193_Control,1,16,2,2,10,2,1,2,1,6,4,16,4,4,6
Tra_ttt200_DN,2,16,2,2,10,3,1,2,2,5,10,10,11,7,7
Tea_ttt194_Control,2,16,2,2,3,1,1,1,1,6,4,7,4,8,6
Tra_ttt201_DN,2,16,2,1,10,1,1,1,2,5,10,21,5,15,10
Tra_ttt202_DN,2,16,2,2,10,5,2,5,1,4,10,27,8,7,8
Tra_ttt203_DN,2,13,1,1,3,2,1,1,1,4,8,13,6,9,5
Tra_ttt204_DN,1,16,2,1,2,5,5,5,1,5,16,7,4,7,3
Tea_ttt195_Control,1,16,2,2,4,2,1,1,1,5,6,17,11,13,13
Tea_ttt196_Control,1,16,2,2,1,4,1,1,1,5,3,11,4,14,4
Tea_ttt197_Control,1,14,2,1,2,2,2,1,1,6,6,12,4,6,5
Tea_ttt198_Control,1,17,2,2,8,1,1,1,1,4,9,17,4,7,6
Tra_ttt205_DN,1,14,1,1,10,5,1,5,1,1,0,7,8,3,3
Tra_ttt206_DN,2,15,2,2,6,2,1,1,3,5,11,19,12,7,10
Tea_ttt199_Control,1,16,2,2,3,2,2,1,1,5,5,15,5,5,6
Tea_ttt200_Control,2,13,1,1,1,1,1,1,1,7,6,7,6,3,5
Tra_ttt207_DN,1,14,1,1,1,1,1,1,1,4,12,13,5,6,6
Tra_ttt208_DN,1,16,2,2,9,1,1,1,2,4,12,35,6,8,13
Tra_ttt209_DN,1,14,2,2,5,4,1,2,1,6,16,23,11,7,15
Tea_ttt201_Control,1,15,2,2,8,1,1,1,1,5,2,15,8,9,5
Tra_ttt210_DN,1,16,2,1,10,1,1,1,1,6,8,10,6,6,3
Tea_ttt202_Control,1,16,2,1,4,1,1,1,1,7,0,7,4,3,3
Tea_ttt203_Control,2,13,1,1,1,1,1,1,1,6,4,7,4,6,3
Tea_ttt204_Control,2,14,1,1,1,1,1,1,4,7,2,16,8,6,3
Tra_ttt211_DN,1,15,2,2,2,2,1,1,1,4,14,11,4,6,6
Tea_ttt205_Control,2,17,2,2,5,1,2,1,1,4,5,8,4,3,3
Tea_ttt206_Control,2,14,1,1,1,2,1,1,1,5,7,11,7,7,6
Tea_ttt207_Control,2,16,2,1,3,2,2,1,1,4,0,11,6,5,4
Tra_ttt212_DN,1,16,2,2,3,2,1,1,1,5,0,16,4,15,6
Tra_ttt213_DN,2,16,2,2,3,2,1,1,1,4,7,13,6,9,8
Tra_ttt214_DN,2,14,2,2,5,4,1,1,1,4,7,13,8,13,6
Tra_ttt215_DN,2,16,2,2,7,4,4,4,3,4,10,19,13,10,7
Tea_ttt208_Control,2,14,1,1,2,1,5,1,5,6,6,11,4,7,3
Tea_ttt209_Control,2,13,1,1,2,1,1,1,1,5,6,10,4,5,5
Tea_ttt210_Control,2,16,2,2,2,3,1,1,1,3,8,14,5,14,5
Tra_ttt216_DN,1,16,2,2,10,4,2,1,1,3,21,19,5,3,12
Tra_ttt217_DN,2,13,1,1,6,1,1,1,1,1,6,15,4,3,3
Tra_ttt218_DN,2,16,2,2,2,2,1,1,1,4,11,10,9,5,3
Tra_ttt219_DN,1,16,2,2,5,2,1,1,1,5,8,19,4,7,8
Tea_ttt211_Control,1,13,1,1,1,1,1,1,1,4,6,14,5,5,5
Tra_ttt220_DN,1,16,2,2,4,2,1,2,3,2,14,16,10,7,4
Tra_ttt221_DN,1,16,2,2,5,4,2,2,1,5,7,15,8,6,6
Tea_ttt212_Control,1,14,1,1,1,1,1,1,2,7,5,8,4,4,5
Tea_ttt213_Control,1,17,2,2,3,2,2,1,1,4,9,11,4,11,4
Tea_ttt214_Control,1,16,2,2,5,1,1,1,1,5,7,10,4,5,4
Tra_ttt222_DN,2,14,2,2,5,2,2,2,1,5,12,27,12,14,9
Tea_ttt215_Control,2,16,2,2,2,2,1,1,1,4,0,7,6,6,3
Tra_ttt223_DN,2,14,2,2,6,1,1,1,1,4,10,15,4,6,5
Tra_ttt224_DN,2,15,2,2,1,3,2,1,1,4,11,19,9,10,10
Tra_ttt225_DN,2,16,2,2,10,1,2,1,2,4,11,13,8,12,6
Tea_ttt216_Control,2,13,1,1,1,1,2,1,3,6,0,13,5,5,3
Tra_ttt226_DN,1,16,2,2,6,5,2,5,1,2,11,13,10,15,5
Tea_ttt217_Control,1,13,1,1,2,1,1,1,2,5,3,12,8,3,4
Tea_ttt218_Control,2,13,1,1,3,1,1,1,1,5,8,9,6,4,3
Tea_ttt219_Control,2,13,1,1,1,4,1,1,1,4,8,15,11,13,3
Tea_ttt220_Control,1,17,2,2,1,1,1,1,1,4,3,9,6,15,5
Tea_ttt221_Control,2,13,1,1,2,2,1,1,1,4,9,10,8,7,7
Tra_ttt227_DN,1,14,2,2,10,1,1,1,1,2,4,23,12,15,15
Tra_ttt228_DN,1,17,1,1,1,3,2,1,2,5,8,21,4,10,5
Tra_ttt229_DN,1,14,2,2,1,5,1,4,1,5,10,15,14,8,5
Tra_ttt230_DN,2,16,2,2,10,3,1,3,1,4,7,21,10,5,11
Tea_ttt222_Control,1,14,1,1,2,1,1,1,1,5,8,9,5,4,3
Tra_ttt231_DN,2,17,2,2,7,2,2,1,1,4,9,20,10,7,9
Tra_ttt232_DN,1,13,1,2,3,3,2,2,2,4,13,21,12,15,11
Tra_ttt233_DN,1,15,2,2,4,2,1,1,1,6,6,8,4,3,4
Tra_ttt234_DN,2,15,2,2,10,3,1,1,1,4,6,21,7,14,5
Tra_ttt235_DN,1,16,2,2,10,5,4,2,5,4,21,30,20,15,15
Tea_ttt223_Control,1,15,2,2,3,1,1,1,2,5,8,11,6,6,7
Tea_ttt224_Control,2,17,2,2,4,2,1,1,1,6,4,10,4,4,4
Tra_ttt236_DN,1,15,2,2,2,2,1,1,1,5,5,15,5,6,7
Tra_ttt237_DN,2,15,2,1,6,2,1,1,1,4,4,18,5,5,7
Tea_ttt225_Control,2,16,2,2,3,2,1,1,1,6,1,9,6,4,3
Tea_ttt226_Control,2,14,1,1,2,1,1,1,1,6,5,7,4,5,4
Tea_ttt227_Control,1,15,2,2,4,2,3,3,1,5,5,11,6,4,4
Tea_ttt228_Control,1,12,1,1,2,1,1,1,1,6,8,18,8,12,6
Tea_ttt229_Control,2,16,2,2,4,1,2,1,1,5,6,14,4,6,6
Tra_ttt238_DN,1,16,2,2,10,3,2,2,1,3,16,29,15,15,11
Tea_ttt230_Control,1,16,2,1,3,1,1,1,2,7,9,16,9,9,6
Tra_ttt239_DN,2,14,1,1,2,2,1,1,2,4,8,10,6,12,5
Tra_ttt240_DN,2,14,1,1,2,1,1,2,1,4,5,15,11,4,8
Tea_ttt231_Control,2,13,2,2,10,1,1,1,2,5,10,20,11,10,8
Tra_ttt241_DN,1,15,2,2,3,1,1,1,2,7,17,24,16,7,12
Tea_ttt232_Control,2,15,2,2,2,2,2,1,1,5,4,10,5,5,3
Tra_ttt242_DN,2,15,2,2,10,1,1,1,1,4,7,17,4,9,3
Tra_ttt243_DN,1,14,2,2,3,1,1,1,1,7,2,8,4,3,4
Tra_ttt244_DN,2,16,2,2,6,2,1,1,1,4,8,12,7,7,6
Tra_ttt245_DN,1,13,1,1,1,5,5,2,5,6,4,23,16,3,3
Tea_ttt233_Control,1,14,1,1,0,1,1,1,1,5,8,20,16,10,6
Tra_ttt246_DN,2,13,2,1,6,1,1,1,1,5,3,11,6,3,3
Tea_ttt234_Control,2,14,2,2,5,1,1,1,1,6,4,7,4,3,3
Tea_ttt235_Control,2,14,1,1,2,2,1,1,1,5,3,7,5,4,4
Tra_ttt247_DN,2,15,2,1,6,4,2,4,1,7,9,17,8,6,6
Tea_ttt236_Control,2,13,1,1,10,1,2,1,1,5,3,7,4,3,3
Tea_ttt237_Control,2,13,2,2,5,2,1,1,1,5,2,11,5,6,3
Tea_ttt238_Control,1,12,1,1,2,1,1,1,1,7,1,7,4,3,3
Tea_ttt239_Control,1,14,2,2,10,4,2,1,1,4,3,9,4,6,3
Tea_ttt240_Control,2,16,2,2,6,3,1,3,1,4,5,13,7,12,4
Tra_ttt248_DN,1,15,2,2,3,5,5,5,1,3,9,15,6,5,3
Tra_ttt249_DN,2,14,2,2,2,5,2,2,3,4,12,25,6,4,8
Tea_ttt241_Control,1,13,1,1,5,1,1,1,1,5,4,7,5,3,4
Tea_ttt242_Control,2,15,2,2,5,3,2,3,3,4,13,24,13,14,10
Tea_ttt243_Control,2,13,1,1,1,3,1,1,1,7,8,7,6,9,5
Tra_ttt250_DN,2,16,2,2,5,2,2,1,1,4,7,20,5,10,6
Tea_ttt244_Control,2,13,1,1,3,2,3,1,1,5,4,12,7,13,3
Tea_ttt245_Control,1,13,2,2,3,2,1,1,1,5,5,23,4,9,4
Tea_ttt246_Control,2,14,1,1,1,1,2,1,1,5,2,9,4,6,4
Tea_ttt247_Control,1,15,2,1,3,1,1,1,1,6,7,13,5,9,3
Tea_ttt248_Control,2,15,2,2,5,2,1,1,1,4,4,10,5,9,4
Tea_ttt249_Control,2,12,1,1,1,1,1,1,1,6,1,10,7,4,3
Tra_ttt251_DN,2,15,2,2,10,5,5,5,1,5,20,7,4,3,3
Tea_ttt250_Control,1,14,2,2,10,2,1,1,1,7,5,14,5,9,4
Tea_ttt251_Control,2,14,1,1,4,2,1,1,1,4,9,14,9,10,3
Tea_ttt252_Control,1,13,1,1,3,1,1,1,1,6,6,10,4,8,4
Tra_ttt252_DN,1,16,2,1,10,1,2,1,3,6,12,21,17,9,9
Tea_ttt253_Control,1,13,1,1,4,1,1,1,1,5,2,14,5,10,8
Tra_ttt253_DN,2,16,2,2,10,2,1,2,1,5,9,19,13,9,7
Tra_ttt254_DN,1,16,2,1,5,2,1,1,1,5,5,8,6,6,3
Tea_ttt254_Control,1,16,2,2,2,2,1,1,1,4,9,13,4,4,4
Tea_ttt255_Control,2,16,2,1,5,1,1,1,1,4,1,8,4,6,3
Tea_ttt256_Control,1,15,2,2,6,1,1,1,1,5,15,26,13,15,10
Tra_ttt255_DN,2,16,2,1,4,1,1,1,1,4,11,16,5,5,6
Tea_ttt257_Control,2,15,2,2,2,1,2,1,1,5,3,7,4,3,3
Tea_ttt258_Control,1,12,1,1,5,2,1,1,1,5,10,14,4,6,4
Tea_ttt259_Control,2,15,2,2,4,2,2,1,1,5,8,8,4,5,4
Tra_ttt256_DN,2,15,2,2,3,2,1,1,1,5,0,8,6,6,4
Tra_ttt257_DN,2,15,2,2,10,2,1,1,1,4,2,9,5,4,7
Tra_ttt258_DN,1,16,2,2,6,4,4,4,1,4,10,20,7,7,7
Tea_ttt260_Control,1,13,1,1,0,1,2,1,5,5,6,9,4,3,3
Tra_ttt259_DN,1,16,2,1,10,5,5,1,1,4,7,7,5,12,3
Tea_ttt261_Control,1,17,2,2,3,1,1,1,1,6,1,7,4,3,3
Tra_ttt260_DN,2,15,2,2,3,4,5,3,1,7,0,24,9,8,7
Tea_ttt262_Control,2,17,2,2,2,1,1,1,1,6,2,10,8,15,4
Tra_ttt261_DN,1,16,2,2,2,2,1,2,1,5,11,19,6,6,7
Tea_ttt263_Control,2,16,2,1,2,2,2,2,2,6,0,14,8,6,6
Tea_ttt264_Control,1,13,2,2,10,1,1,1,1,4,10,15,4,5,4
Tra_ttt262_DN,2,16,2,2,4,3,1,2,1,6,11,16,7,6,5
Tra_ttt263_DN,1,16,2,2,8,2,1,2,1,5,9,21,5,8,6
Tea_ttt265_Control,2,15,2,2,3,2,1,1,1,5,4,12,5,6,4
Tea_ttt266_Control,1,15,2,2,3,2,1,1,1,5,3,9,5,7,3
Tea_ttt267_Control,2,17,2,2,7,1,1,1,1,5,6,15,4,6,4
Tea_ttt268_Control,2,14,2,2,5,1,2,1,1,7,7,9,4,10,3
Tea_ttt269_Control,2,16,2,2,4,1,1,1,1,4,5,8,4,4,3
Tea_ttt270_Control,1,13,1,1,1,1,1,1,1,6,3,9,4,7,3
Tra_ttt264_DN,2,16,2,2,3,2,1,1,1,4,11,7,4,14,3
Tra_ttt265_DN,2,16,2,2,9,2,1,1,1,4,17,17,7,6,11
Tea_ttt271_Control,1,15,2,2,2,5,3,2,2,5,7,17,4,15,15
Tra_ttt266_DN,1,15,2,2,10,5,5,1,1,4,9,11,4,3,3
Tra_ttt267_DN,2,15,2,2,5,4,2,2,2,4,8,26,7,11,10
Tea_ttt272_Control,1,13,1,1,4,1,1,1,1,5,0,7,4,3,3
