,Gender,Age,Acc,CR,Ptime,S_anx1,S_anx2,S_anx3,EBB3,R_tea,Inattention,LC,AC,WE,PL
Tea_ttt569_Control,1,13,1,1,3,2,1,1,1,6,7,14,6,12,9
Tra_ttt508_DN,1,17,2,2,10,3,4,1,2,3,8,22,5,15,5
Tra_ttt509_DN,2,16,2,2,5,2,1,1,1,5,4,13,5,7,5
Tra_ttt510_DN,2,15,2,2,6,3,2,1,1,4,12,14,4,3,8
Tea_ttt570_Control,1,15,2,2,3,2,1,1,1,7,8,17,8,9,11
Tra_ttt511_DN,2,15,2,2,3,1,1,1,1,4,14,19,8,3,5
Tra_ttt512_DN,1,15,2,2,1,5,5,5,2,4,19,15,4,6,6
Tra_ttt513_DN,2,15,2,2,8,4,2,1,1,5,18,30,14,10,15
Tra_ttt514_DN,1,16,2,2,10,2,1,2,1,5,8,9,4,6,6
Tea_ttt571_Control,1,14,2,2,9,2,3,1,2,5,6,13,4,11,7
Tea_ttt572_Control,2,14,1,1,2,1,1,1,1,6,7,12,4,3,5
Tea_ttt573_Control,2,16,2,2,4,1,1,1,1,4,4,16,6,5,5
Tea_ttt574_Control,1,13,2,2,10,1,1,1,1,6,11,7,4,3,3
Tra_ttt515_DN,2,16,2,1,1,2,1,4,1,6,17,9,7,9,3
Tra_ttt516_DN,2,14,2,2,8,3,2,2,1,4,6,15,8,8,3
Tea_ttt575_Control,2,13,1,1,1,2,1,1,1,6,4,9,4,5,4
Tra_ttt517_DN,2,16,2,2,3,2,2,1,1,5,8,21,7,9,6
Tea_ttt576_Control,1,13,1,1,10,1,1,1,1,6,11,16,5,4,8
Tra_ttt518_DN,1,15,2,2,1,2,1,1,1,5,9,12,7,12,3
Tea_ttt577_Control,1,15,2,1,10,2,1,1,1,5,7,11,4,9,8
Tra_ttt519_DN,2,13,1,1,1,4,2,1,3,5,9,13,7,7,6
Tra_ttt520_DN,2,16,2,2,10,5,2,2,1,4,24,23,16,12,15
Tea_ttt578_Control,1,17,2,2,10,1,1,1,1,6,4,14,4,3,4
Tea_ttt579_Control,1,12,1,1,3,1,1,1,1,6,0,7,4,3,3
Tra_ttt521_DN,1,16,2,2,10,5,5,1,1,5,12,19,12,11,12
Tea_ttt580_Control,1,13,1,1,3,2,1,1,1,4,11,14,7,4,6
Tea_ttt581_Control,2,13,1,2,1,2,1,1,1,5,3,10,4,3,3
Tea_ttt582_Control,2,13,2,2,5,1,1,1,1,6,1,7,4,4,3
Tra_ttt522_DN,2,16,2,2,3,2,1,1,1,4,6,11,6,12,5
Tea_ttt583_Control,2,16,2,2,6,3,2,1,2,5,10,27,16,12,10
Tra_ttt523_DN,2,13,1,1,1,2,1,1,1,4,8,24,16,15,10
Tra_ttt524_DN,1,16,2,1,4,2,1,3,1,3,10,14,6,12,5
Tra_ttt525_DN,2,15,2,1,10,5,5,5,1,5,9,10,4,10,5
Tea_ttt584_Control,1,13,1,1,3,2,2,1,1,5,7,11,5,13,5
Tea_ttt585_Control,2,13,1,1,0,1,1,1,1,7,0,7,4,3,3
Tea_ttt586_Control,2,14,2,2,4,2,1,1,1,6,4,7,4,4,3
Tea_ttt587_Control,1,14,2,2,1,1,1,1,1,4,3,13,5,5,4
Tea_ttt588_Control,1,14,1,1,1,2,1,1,2,5,7,8,4,3,3
Tea_ttt589_Control,2,16,2,2,4,2,1,1,1,7,7,11,4,8,5
Tra_ttt526_DN,2,14,1,1,1,2,1,1,1,6,10,20,10,12,7
Tea_ttt590_Control,1,14,1,1,2,1,1,1,1,7,0,7,4,3,3
Tea_ttt591_Control,1,15,2,2,9,2,1,1,1,5,7,19,12,11,8
Tra_ttt527_DN,2,16,2,2,9,3,1,2,1,4,10,16,8,4,10
Tea_ttt592_Control,1,13,2,1,2,1,1,1,2,6,6,14,4,11,5
Tea_ttt593_Control,1,15,2,2,4,1,1,1,1,6,1,7,4,5,4
Tra_ttt528_DN,2,16,2,2,7,5,5,5,2,7,22,27,8,7,15
Tea_ttt594_Control,2,16,2,2,5,3,3,2,1,6,5,11,5,8,8
Tra_ttt529_DN,2,16,2,1,6,5,5,5,2,3,21,24,16,7,15
Tea_ttt595_Control,1,16,2,2,5,1,1,1,1,4,7,14,4,5,5
Tra_ttt530_DN,1,17,2,2,6,2,2,3,2,4,8,12,11,4,7
Tra_ttt531_DN,2,16,2,2,5,2,1,1,1,4,17,14,7,6,6
Tea_ttt596_Control,2,16,2,2,3,1,1,1,1,7,2,8,4,6,3
Tea_ttt597_Control,1,14,1,1,4,1,1,1,1,6,0,7,5,5,4
Tra_ttt532_DN,2,15,2,2,3,3,2,1,1,4,11,11,4,10,4
Tra_ttt533_DN,2,16,2,2,5,2,1,2,1,4,11,13,9,9,4
Tea_ttt598_Control,2,13,2,2,1,1,1,1,1,7,2,7,4,3,3
Tea_ttt599_Control,1,13,1,1,2,1,1,1,1,4,0,7,4,3,3
Tra_ttt534_DN,1,15,2,2,6,5,1,1,1,5,7,12,4,3,8
Tra_ttt535_DN,2,16,2,2,10,3,4,2,1,4,6,8,4,6,5
Tra_ttt536_DN,2,15,1,2,1,5,5,1,1,6,21,23,12,7,11
Tea_ttt600_Control,2,16,2,2,5,1,1,1,1,4,4,7,4,4,3
Tea_ttt601_Control,2,13,2,2,2,2,2,1,1,5,5,13,6,6,6
Tea_ttt602_Control,1,15,2,2,3,1,1,1,1,5,3,11,4,3,4
Tra_ttt537_DN,1,13,1,1,1,5,5,5,1,4,0,7,4,3,3
Tra_ttt538_DN,2,15,2,2,4,3,1,2,1,5,9,17,7,6,7
Tra_ttt539_DN,1,16,2,2,3,2,2,1,1,5,11,13,4,7,5
Tra_ttt540_DN,2,15,2,2,10,2,1,1,1,4,15,13,8,6,6
Tra_ttt541_DN,2,16,2,2,7,2,1,1,1,5,15,25,4,7,12
Tra_ttt542_DN,2,16,2,2,10,3,2,1,1,4,12,19,9,5,10
Tra_ttt543_DN,2,15,2,2,3,4,2,2,1,4,12,22,7,8,8
Tea_ttt603_Control,2,16,2,2,5,2,1,1,1,6,6,8,5,3,3
Tra_ttt544_DN,1,16,2,2,7,1,1,1,1,5,4,14,6,4,7
Tea_ttt604_Control,1,14,2,2,5,1,1,1,1,5,8,9,6,8,3
Tra_ttt545_DN,1,16,2,2,10,2,1,2,1,4,3,10,4,3,3
Tra_ttt546_DN,2,16,2,2,3,4,5,3,1,4,18,22,8,12,10
Tea_ttt605_Control,2,15,2,2,2,3,3,1,1,7,1,9,5,4,3
Tra_ttt547_DN,1,16,2,2,8,2,1,5,1,5,7,26,12,13,9
Tea_ttt606_Control,2,16,2,2,4,2,1,1,1,7,10,10,5,6,4
Tea_ttt607_Control,2,15,2,2,5,5,4,2,2,4,12,19,10,6,10
Tra_ttt548_DN,1,18,2,2,10,1,1,1,1,4,11,21,8,6,9
Tea_ttt608_Control,1,13,1,1,1,1,1,1,1,6,5,12,8,11,5
Tea_ttt609_Control,2,16,2,2,3,1,1,1,1,5,1,7,5,3,3
Tra_ttt549_DN,1,14,2,1,10,2,1,1,1,4,6,10,7,14,6
Tea_ttt610_Control,2,14,1,1,4,1,1,1,1,6,3,10,4,10,7
Tra_ttt550_DN,1,15,2,1,10,1,1,1,3,4,13,20,11,12,15
Tea_ttt611_Control,1,16,2,2,10,1,2,1,1,4,2,12,4,8,3
Tea_ttt612_Control,1,14,1,1,1,1,1,1,1,4,0,14,7,12,3
Tea_ttt613_Control,1,13,2,2,3,1,1,1,1,6,0,12,5,11,3
Tea_ttt614_Control,2,14,1,1,2,2,1,1,1,6,0,8,4,6,5
Tea_ttt615_Control,1,13,1,1,1,1,1,1,1,5,5,12,4,5,5
Tea_ttt616_Control,2,14,1,1,2,4,1,2,2,3,8,15,14,13,3
Tea_ttt617_Control,1,12,1,1,2,1,1,1,1,7,8,10,4,13,3
Tra_ttt551_DN,2,16,2,2,4,3,2,2,1,4,17,11,4,5,4
Tea_ttt618_Control,2,15,2,2,4,1,1,1,1,6,7,13,4,3,3
Tea_ttt619_Control,1,16,2,2,6,1,1,1,1,4,8,14,5,7,3
Tea_ttt620_Control,1,16,2,2,2,3,2,1,1,5,5,12,5,7,7
Tea_ttt621_Control,2,13,2,2,2,1,1,1,1,5,0,8,4,3,3
Tra_ttt552_DN,2,16,2,2,4,3,2,2,1,5,7,10,5,6,3
Tra_ttt553_DN,2,15,2,2,5,1,1,1,1,5,6,8,4,3,3
Tea_ttt622_Control,2,14,1,1,1,1,1,1,1,5,2,8,4,3,5
Tra_ttt554_DN,1,16,2,2,10,2,2,1,2,5,8,21,11,12,7
Tra_ttt555_DN,2,17,2,2,10,2,2,2,1,5,11,10,8,8,7
Tra_ttt556_DN,2,14,2,2,6,3,1,1,2,5,7,12,17,15,5
Tra_ttt557_DN,2,15,2,2,5,3,1,2,1,5,0,14,19,10,6
Tra_ttt558_DN,1,15,2,2,4,4,3,4,1,5,8,15,9,8,8
Tra_ttt559_DN,2,16,2,2,6,3,1,1,2,6,7,16,14,15,3
Tra_ttt560_DN,2,15,2,2,6,3,4,1,3,4,13,13,13,15,8
Tra_ttt561_DN,1,12,1,1,1,5,5,5,3,4,11,35,14,9,9
Tra_ttt562_DN,1,16,2,2,8,3,1,3,1,5,8,26,16,12,12
Tra_ttt563_DN,1,14,1,1,7,1,1,1,1,4,4,8,7,8,3
Tea_ttt623_Control,1,13,1,1,1,1,1,1,1,6,4,8,4,6,3
Tra_ttt564_DN,1,13,2,2,10,1,2,1,1,5,15,20,8,8,10
Tea_ttt624_Control,1,13,1,1,6,2,1,1,1,6,7,19,10,6,7
Tea_ttt625_Control,2,15,2,2,4,2,1,1,1,4,5,26,16,8,6
Tra_ttt565_DN,1,15,2,2,10,1,1,1,1,3,15,31,6,15,11
Tra_ttt566_DN,1,14,2,1,4,3,3,2,2,4,11,18,13,15,10
Tea_ttt626_Control,2,15,2,2,10,2,1,1,1,7,3,13,4,7,6
Tra_ttt567_DN,1,15,2,2,10,5,5,5,5,4,19,27,20,15,7
Tea_ttt627_Control,2,13,1,1,1,1,1,1,1,6,4,7,4,6,3
Tea_ttt628_Control,2,16,2,2,6,3,2,1,1,4,9,13,7,5,6
Tea_ttt629_Control,1,16,2,2,8,1,1,1,1,4,6,21,5,5,12
Tea_ttt630_Control,1,14,1,1,1,1,1,1,1,4,9,9,4,3,3
Tra_ttt568_DN,2,16,2,2,6,4,2,1,1,4,7,11,5,4,5
Tea_ttt631_Control,1,16,2,2,4,2,1,1,1,4,6,14,5,3,6
Tea_ttt632_Control,2,16,2,2,1,2,2,2,1,5,12,12,4,7,7
Tea_ttt633_Control,1,14,1,1,1,1,1,1,1,6,6,12,4,5,5
Tea_ttt634_Control,1,14,2,2,5,2,1,1,1,4,5,20,6,6,8
Tea_ttt635_Control,1,12,1,1,2,1,1,1,1,5,1,7,4,3,3
Tea_ttt636_Control,2,15,2,2,4,2,1,1,1,6,10,15,4,6,6
Tra_ttt569_DN,1,13,1,2,3,3,2,2,3,5,10,17,11,7,8
Tra_ttt570_DN,2,16,2,1,10,4,1,2,1,5,4,13,6,9,4
Tra_ttt571_DN,1,16,2,2,10,1,2,1,1,4,4,16,4,3,11
Tra_ttt572_DN,2,14,1,1,2,2,1,1,1,4,8,26,16,8,12
Tea_ttt637_Control,1,14,1,1,1,1,1,1,1,5,3,7,5,10,3
Tea_ttt638_Control,2,16,2,2,2,2,1,1,1,5,6,10,6,5,4
Tra_ttt573_DN,2,16,2,2,5,4,3,2,1,5,9,14,10,9,6
Tra_ttt574_DN,2,14,1,1,3,2,3,1,1,4,6,19,6,12,6
Tra_ttt575_DN,1,16,2,2,1,2,3,2,1,5,27,24,11,11,7
Tea_ttt639_Control,2,13,1,1,1,1,1,1,1,7,1,8,4,5,3
Tea_ttt640_Control,1,15,2,2,5,2,2,1,1,5,6,15,4,6,4
Tea_ttt641_Control,1,15,2,2,1,2,1,1,1,7,5,13,4,4,6
Tea_ttt642_Control,1,13,2,1,1,2,1,1,1,5,6,12,12,15,7
Tra_ttt576_DN,2,14,2,2,1,3,2,2,2,5,9,17,9,8,7
Tea_ttt643_Control,2,13,1,1,2,2,1,1,1,6,6,9,4,4,3
Tea_ttt644_Control,1,14,2,2,10,1,1,1,2,5,3,10,4,5,3
Tea_ttt645_Control,1,14,1,1,4,1,1,1,2,5,1,14,5,9,6
Tea_ttt646_Control,1,16,2,2,3,2,1,1,1,6,1,12,5,3,3
Tea_ttt647_Control,2,16,2,2,5,2,2,1,1,4,6,11,19,13,6
Tea_ttt648_Control,1,14,1,1,0,1,1,1,1,7,4,11,4,6,10
Tea_ttt649_Control,1,13,2,2,8,1,1,1,1,4,7,11,4,4,5
Tea_ttt650_Control,1,13,1,1,0,1,1,1,1,6,3,8,5,5,5
Tra_ttt577_DN,1,16,2,2,2,2,2,2,2,5,13,14,8,6,6
Tea_ttt651_Control,1,14,1,1,1,1,1,1,1,7,3,8,4,3,3
Tea_ttt652_Control,2,14,2,2,10,1,1,1,1,7,14,12,20,7,3
Tra_ttt578_DN,1,15,2,2,10,5,5,5,5,7,27,35,20,15,15
Tra_ttt579_DN,1,15,2,2,1,1,1,1,1,6,9,7,4,3,3
Tea_ttt653_Control,2,14,1,1,2,1,1,1,1,7,6,8,4,3,3
Tea_ttt654_Control,1,16,2,1,5,1,1,1,1,5,5,12,4,4,4
Tra_ttt580_DN,2,15,2,2,1,2,1,1,1,4,9,15,8,12,4
Tea_ttt655_Control,2,13,2,2,1,2,1,1,1,6,3,9,6,5,4
Tea_ttt656_Control,1,12,1,1,3,1,1,1,1,5,1,9,4,3,3
Tra_ttt581_DN,1,15,2,2,8,2,1,2,1,5,5,18,4,4,7
Tea_ttt657_Control,2,13,1,1,2,3,2,1,1,6,5,18,5,11,8
Tra_ttt582_DN,2,14,1,1,10,3,2,2,1,4,11,22,10,12,9
Tea_ttt658_Control,2,14,1,1,2,2,1,1,1,7,3,12,5,5,6
Tra_ttt583_DN,1,15,2,2,10,5,5,5,5,1,27,29,20,15,15
Tea_ttt659_Control,1,13,1,1,1,1,1,1,1,6,2,13,4,6,4
Tea_ttt660_Control,2,14,1,1,1,2,4,1,1,7,7,8,4,3,4
Tea_ttt661_Control,1,14,1,1,1,1,1,1,1,5,5,18,6,7,3
Tra_ttt584_DN,2,14,2,2,10,5,2,2,1,4,12,27,20,15,12
Tea_ttt662_Control,2,14,1,1,4,3,2,1,1,5,10,19,7,11,5
Tea_ttt663_Control,1,13,1,1,2,1,1,1,1,6,5,9,4,3,3
Tea_ttt664_Control,1,16,2,2,10,2,1,2,1,5,13,16,5,8,6
Tra_ttt585_DN,1,16,2,2,5,2,1,2,1,4,11,22,13,12,10
Tea_ttt665_Control,1,13,1,1,1,2,1,3,2,6,7,15,8,6,7
Tea_ttt666_Control,1,13,1,1,2,1,1,1,1,6,8,20,7,6,6
Tra_ttt586_DN,1,16,2,2,5,2,1,1,1,6,10,14,5,7,6
Tea_ttt667_Control,1,12,1,1,1,1,1,1,1,5,2,7,4,3,3
Tra_ttt587_DN,2,15,2,2,4,2,1,1,1,4,2,12,6,5,9
Tra_ttt588_DN,1,16,2,1,5,5,2,1,1,4,8,25,12,12,9
Tea_ttt668_Control,2,14,1,1,1,2,1,2,1,6,3,8,5,15,3
Tea_ttt669_Control,2,15,2,2,2,2,1,1,1,5,6,7,8,3,6
Tra_ttt589_DN,1,15,2,1,2,2,1,1,2,7,10,13,7,10,5
Tea_ttt670_Control,1,12,1,1,4,3,3,1,1,5,0,10,7,4,3
Tra_ttt590_DN,2,14,2,2,2,1,1,1,1,4,15,19,10,9,5
Tra_ttt591_DN,2,15,2,2,8,3,3,1,1,5,5,17,14,12,3
Tea_ttt671_Control,2,13,1,1,2,1,1,1,1,6,3,8,4,3,3
Tea_ttt672_Control,1,13,1,1,1,1,1,1,1,5,2,7,4,4,3
Tea_ttt673_Control,1,14,1,1,0,4,1,2,1,6,0,16,13,12,8
Tra_ttt592_DN,2,16,2,1,6,3,1,1,1,6,14,20,9,11,7
Tra_ttt593_DN,2,15,2,2,4,3,5,2,1,6,12,25,4,8,14
Tea_ttt674_Control,1,16,2,2,4,5,5,5,1,7,13,11,10,6,4
Tra_ttt594_DN,1,15,2,2,10,1,1,1,1,4,14,18,6,11,5
Tea_ttt675_Control,1,15,2,2,6,1,1,1,1,4,4,8,4,7,3
Tra_ttt595_DN,2,16,2,2,2,1,1,1,4,5,13,14,4,7,3
Tra_ttt596_DN,2,15,2,2,6,2,1,1,1,6,7,8,4,3,3
Tra_ttt597_DN,1,16,2,1,8,1,3,2,1,6,11,26,4,15,13
Tea_ttt676_Control,2,14,1,2,1,2,2,1,1,4,7,7,5,6,4
Tra_ttt598_DN,2,16,2,2,3,2,1,1,1,4,11,10,4,6,8
Tea_ttt677_Control,2,13,1,1,3,1,2,1,1,7,2,16,4,3,3
Tra_ttt599_DN,1,16,2,2,4,1,1,1,1,4,4,23,9,15,9
Tra_ttt600_DN,1,16,2,1,3,2,1,2,1,4,8,16,13,7,6
Tra_ttt601_DN,1,13,1,1,8,1,1,1,1,6,10,19,7,9,4
Tra_ttt602_DN,2,13,2,2,4,5,2,1,1,4,6,26,10,15,13
Tea_ttt678_Control,1,13,1,1,1,1,1,1,1,4,7,10,5,6,5
Tea_ttt679_Control,2,12,1,1,3,1,1,1,1,4,4,14,5,10,6
Tra_ttt603_DN,2,16,2,1,9,4,2,2,1,5,3,14,9,12,4
Tea_ttt680_Control,2,12,1,1,1,2,2,1,1,4,1,7,4,6,4
Tea_ttt681_Control,2,14,1,1,1,1,1,1,1,5,4,8,4,5,3
Tra_ttt604_DN,1,15,2,2,1,5,5,5,1,1,27,11,4,3,3
Tea_ttt682_Control,1,15,2,2,5,1,1,1,1,6,3,14,4,11,5
Tea_ttt683_Control,2,16,2,2,5,2,3,1,4,6,3,9,4,6,3
Tra_ttt605_DN,2,17,1,1,4,2,2,2,5,4,5,20,11,10,7
Tea_ttt684_Control,1,13,1,1,5,1,1,1,1,5,11,19,4,7,6
Tea_ttt685_Control,1,13,1,1,5,1,2,1,1,4,12,10,6,5,4
Tra_ttt606_DN,1,16,2,2,5,1,1,1,1,5,7,18,12,9,6
Tra_ttt607_DN,2,14,1,1,2,5,4,2,1,5,9,19,10,13,6
Tea_ttt686_Control,2,13,2,2,3,1,1,1,1,5,5,11,11,6,9
Tra_ttt608_DN,2,14,2,2,10,5,2,1,2,4,18,21,14,15,8
Tra_ttt609_DN,1,16,2,2,4,1,1,1,1,4,12,14,5,4,7
Tra_ttt610_DN,1,15,2,2,10,2,1,1,1,4,10,27,20,15,9
Tea_ttt687_Control,1,16,2,2,10,2,1,3,1,4,11,12,7,11,6
Tra_ttt611_DN,1,14,1,1,3,3,1,2,4,6,15,26,11,12,11
Tra_ttt612_DN,1,16,2,2,5,2,1,1,1,4,3,18,11,12,6
Tea_ttt688_Control,2,13,1,1,2,2,1,1,1,7,6,17,5,6,3
Tra_ttt613_DN,1,15,2,2,6,2,2,2,1,5,10,29,14,15,10
Tea_ttt689_Control,2,15,2,2,8,1,1,1,1,5,1,11,4,3,4
Tra_ttt614_DN,2,14,1,1,1,2,1,1,1,5,6,13,7,9,5
Tea_ttt690_Control,2,14,2,2,2,2,2,1,1,5,7,8,4,3,3
Tea_ttt691_Control,1,13,1,1,1,1,1,1,3,6,4,12,5,12,6
Tra_ttt615_DN,2,15,2,2,5,2,1,2,1,4,11,19,9,8,10
Tea_ttt692_Control,2,16,2,2,5,1,1,1,1,5,3,9,4,4,4
Tra_ttt616_DN,2,16,2,2,10,4,1,5,1,4,16,24,17,7,6
Tea_ttt693_Control,1,15,2,2,7,1,1,1,2,5,12,14,6,6,3
Tra_ttt617_DN,1,16,2,2,2,3,3,3,2,4,9,9,11,9,3
Tea_ttt694_Control,2,13,1,1,0,1,1,1,1,6,3,7,5,3,3
Tea_ttt695_Control,1,15,2,2,4,2,1,1,1,5,3,13,5,6,5
Tea_ttt696_Control,1,13,1,1,3,1,1,1,1,6,5,12,4,8,4
Tra_ttt618_DN,2,15,2,1,10,1,1,1,1,7,10,14,12,7,5
Tea_ttt697_Control,1,14,1,1,2,3,1,1,1,4,9,17,4,8,7
Tea_ttt698_Control,2,15,2,2,3,2,1,1,1,5,15,11,4,15,7
Tea_ttt699_Control,1,14,1,1,4,2,4,1,1,5,9,17,6,10,4
Tea_ttt700_Control,2,16,2,2,6,2,1,1,1,5,5,14,5,8,5
Tra_ttt619_DN,2,16,2,2,2,2,1,1,1,5,2,7,5,4,5
Tea_ttt701_Control,2,14,1,1,0,1,1,1,1,6,5,12,10,6,5
Tra_ttt620_DN,2,14,1,1,8,3,4,2,2,5,10,19,11,12,8
Tea_ttt702_Control,2,13,1,1,2,2,1,1,1,6,7,9,7,6,4
Tea_ttt703_Control,1,16,2,1,8,2,1,1,1,5,4,13,6,3,3
Tra_ttt621_DN,2,16,2,2,4,2,1,1,2,4,3,12,13,6,4
Tra_ttt622_DN,2,15,2,2,7,3,2,2,2,4,13,22,8,5,10
Tra_ttt623_DN,2,15,2,2,10,4,2,5,1,4,10,16,13,14,8
Tra_ttt624_DN,2,13,1,1,6,4,1,1,1,3,7,24,7,12,11
Tea_ttt704_Control,1,14,1,1,1,1,1,1,1,6,1,8,4,4,3
Tea_ttt705_Control,2,13,2,2,3,2,1,1,1,6,5,9,5,5,6
Tea_ttt706_Control,1,12,1,1,4,3,3,1,1,5,0,10,6,6,4
Tea_ttt707_Control,1,14,1,1,0,1,1,1,1,7,6,9,4,3,6
Tra_ttt625_DN,2,15,2,2,6,5,3,1,1,5,13,19,9,8,12
Tea_ttt708_Control,1,15,2,2,7,1,1,1,3,4,5,10,7,5,5
Tra_ttt626_DN,2,14,1,1,4,4,1,1,1,3,11,15,17,15,12
Tea_ttt709_Control,1,13,1,1,1,1,1,1,1,7,2,7,4,5,4
Tea_ttt710_Control,1,14,1,1,3,1,1,1,1,5,3,11,4,8,3
Tea_ttt711_Control,1,15,2,2,6,2,1,1,1,5,6,17,7,7,7
Tea_ttt712_Control,1,16,2,2,10,1,1,1,2,4,9,11,4,3,3
Tra_ttt627_DN,1,16,2,2,4,2,1,1,1,4,12,15,4,5,5
Tra_ttt628_DN,2,15,2,2,7,2,3,1,2,4,16,22,8,10,12
Tra_ttt629_DN,2,14,1,1,1,2,1,1,1,6,2,24,9,15,12
Tea_ttt713_Control,1,16,2,2,10,1,1,1,1,7,0,7,4,3,3
Tea_ttt714_Control,1,14,1,2,2,2,1,1,1,5,10,16,4,3,7
